brand,model,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,touchscreen,msoffice,latest_price,reviews
asus,celeron,intel,celeron dual,4.0,ddr4,0,1024,windows,64,0,casual,15.6,1,no,no,16073.300000000001,1947
asus,vivobook,intel,core i3,8.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,no,25453.300000000003,108
asus,vivobook,intel,core i3,8.0,ddr4,0,1024,windows,64,0,casual,14.1,1,no,no,22036.300000000003,4
hp,core,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,28803.300000000003,18
hp,core,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,0,no,no,36843.3,15
lenovo,ideapad,intel,core i3,8.0,ddr4,0,1024,windows,64,0,thinnlight,15.6,1,no,yes,24113.300000000003,233
hp,15s,amd,ryzen 3,8.0,ddr4,256,1024,windows,64,0,casual,15.6,1,no,yes,28139.33,432
asus,core,intel,core i3,4.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,23067.43,6
dell,vostro,intel,core i3,8.0,ddr4,256,1024,windows,64,0,thinnlight,15.6,1,no,yes,27798.300000000003,5
lenovo,ideapad,intel,core i3,8.0,ddr4,256,0,windows,32,0,thinnlight,15.6,2,no,yes,25453.300000000003,235
hp,core,intel,core i5,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,no,36173.3,17
hp,ryzen,amd,ryzen 3,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,1,no,no,25453.300000000003,241
hp,pavilion,amd,ryzen 5,8.0,ddr4,512,0,windows,64,4,casual,15.6,1,no,no,38853.3,532
lenovo,ideapad,intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,2,no,yes,35503.3,24
asus,vivobook,intel,core i3,4.0,ddr4,256,0,windows,32,0,casual,15.6,1,no,yes,24113.300000000003,181
dell,vostro,amd,ryzen 3,8.0,ddr4,0,1024,windows,64,0,thinnlight,14.0,1,no,yes,24113.300000000003,12
asus,vivobook,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,22766.600000000002,3
hp,pavilion,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,14.0,1,no,yes,45553.3,6
hp,core,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,1,no,yes,26793.300000000003,30
apple,2020,apple,m1 processor,8.0,ddr4,256,0,mac,64,0,casual,13.3,1,no,no,57613.3,629
asus,vivobook,intel,pentium silver,4.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,20093.300000000003,3
asus,vivobook,intel,core i7,16.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,no,38853.3,9
hp,core,intel,core i3,8.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,28803.300000000003,59
lenovo,ideapad,intel,celeron dual,4.0,ddr4,256,0,windows,64,0,thinnlight,14.0,0,no,no,21439.33,19
dell,vostro,intel,core i3,8.0,ddr4,256,0,windows,64,0,thinnlight,14.0,1,no,yes,26458.300000000003,171
dell,inspiron,intel,core i3,8.0,ddr4,256,1024,windows,64,0,casual,15.6,0,no,no,30478.300000000003,16
msi,gf63,intel,hexa core,8.0,ddr4,256,1024,windows,64,4,casual,15.6,2,no,no,37513.3,272
msi,gf63,intel,core i7,8.0,ddr4,256,1024,windows,64,4,casual,15.6,2,no,no,42873.3,83
asus,tuf,intel,core i5,8.0,ddr4,512,0,windows,64,4,gaming,15.6,1,no,no,38853.3,412
asus,ryzen,amd,ryzen 3,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,1,no,no,24113.300000000003,375
lenovo,ideapad,intel,core i5,16.0,ddr4,512,0,windows,64,0,thinnlight,15.6,1,no,yes,41741.0,95
realme,book(slim),intel,core i5,8.0,ddr4,512,0,windows,64,0,casual,14.0,1,no,yes,35503.3,505
acer,aspire,amd,ryzen 3,8.0,ddr4,512,0,windows,64,0,casual,15.6,1,no,no,24783.300000000003,2
redmibook,15,intel,core i3,8.0,ddr4,256,0,windows,32,0,thinnlight,15.6,1,no,no,26123.300000000003,152
asus,vivobook,intel,core i5,8.0,ddr4,256,1024,windows,32,0,casual,15.6,1,no,yes,34163.3,127
asus,vivobook,intel,core i7,8.0,ddr4,512,0,windows,64,4,gaming,15.6,0,no,no,41533.3,2
msi,gf65,intel,core i7,16.0,ddr4,1024,0,windows,64,6,casual,15.6,2,no,no,56943.3,64
dell,inspiron,amd,ryzen 3,8.0,ddr4,256,0,windows,64,0,thinnlight,15.6,0,no,no,26458.300000000003,4
asus,vivobook,intel,core i5,8.0,ddr4,256,1024,windows,64,4,gaming,15.6,0,no,no,37513.3,0
hp,pavilion,intel,core i3,8.0,ddr4,256,0,windows,64,0,casual,14.0,1,yes,yes,36173.3,0
